epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.03816,1.47452,2.72565,1.2285,0.00535,0.80063,0.1592,0.08355,1.42224,3.20818,1.30498,0.000548258,0.000548258,0.000548258
2,16.1937,1.38717,1.81518,1.20553,0.61622,0.66838,0.62637,0.33951,1.48228,1.69288,1.27465,0.00106749,0.00106749,0.00106749
3,23.1216,1.42125,1.65676,1.1992,0.52608,0.65648,0.61562,0.3262,1.52268,1.47513,1.28725,0.00155006,0.00155006,0.00155006
4,29.9145,1.40289,1.5016,1.21747,0.57439,0.66192,0.61711,0.34642,1.434,1.50055,1.26274,0.00150197,0.00150197,0.00150197
5,36.9075,1.35933,1.37689,1.18672,0.57939,0.70982,0.64565,0.36144,1.44011,1.37425,1.23069,0.00144696,0.00144696,0.00144696
6,43.7302,1.35374,1.2939,1.20261,0.66458,0.6734,0.64984,0.35564,1.45806,1.16506,1.28266,0.00139195,0.00139195,0.00139195
7,50.53,1.38527,1.26339,1.20272,0.66883,0.7031,0.70933,0.38791,1.43583,1.12678,1.26329,0.00133693,0.00133693,0.00133693
8,57.4176,1.34447,1.152,1.17119,0.7085,0.71049,0.72177,0.40163,1.4,1.08416,1.22659,0.00128192,0.00128192,0.00128192
9,64.3525,1.2977,1.10026,1.15141,0.69765,0.77447,0.73302,0.41311,1.38266,1.04962,1.21204,0.00122691,0.00122691,0.00122691
10,71.231,1.28873,1.08378,1.15616,0.71442,0.69885,0.71512,0.41922,1.39101,0.99448,1.20669,0.0011719,0.0011719,0.0011719
11,78.053,1.28157,1.0307,1.14963,0.68612,0.75873,0.70126,0.38184,1.41751,1.06012,1.23481,0.00111689,0.00111689,0.00111689
12,84.8766,1.299,1.04464,1.13617,0.70244,0.74496,0.73445,0.42323,1.33728,1.01421,1.18614,0.00106188,0.00106188,0.00106188
13,91.6911,1.27591,0.93621,1.13328,0.65583,0.7737,0.74846,0.42242,1.40766,1.04121,1.21226,0.00100687,0.00100687,0.00100687
14,98.5199,1.2679,0.97007,1.13504,0.78315,0.74777,0.74238,0.41485,1.39819,0.96596,1.23246,0.000951857,0.000951857,0.000951857
15,105.354,1.25231,0.92036,1.13224,0.68971,0.78141,0.74497,0.41942,1.36416,0.96642,1.18424,0.000896846,0.000896846,0.000896846
16,112.162,1.25393,0.91746,1.12924,0.68051,0.80896,0.76153,0.43527,1.37738,0.9193,1.213,0.000841835,0.000841835,0.000841835
17,118.989,1.22657,0.85318,1.1057,0.77244,0.71443,0.7609,0.44898,1.32952,0.92184,1.18217,0.000786824,0.000786824,0.000786824
18,125.833,1.22252,0.83843,1.11582,0.75186,0.73234,0.76118,0.43788,1.3788,0.9361,1.19694,0.000731813,0.000731813,0.000731813
19,132.606,1.18859,0.81511,1.10004,0.6959,0.77881,0.76944,0.44368,1.37723,0.93669,1.18257,0.000676802,0.000676802,0.000676802
20,139.37,1.16449,0.80002,1.08887,0.75404,0.75701,0.76374,0.43618,1.38671,0.95974,1.20266,0.000621791,0.000621791,0.000621791
21,152.746,1.16997,0.76991,1.10091,0.69464,0.76999,0.7419,0.41735,1.42411,0.9908,1.24276,0.00056678,0.00056678,0.00056678
22,159.533,1.15876,0.77331,1.09966,0.73078,0.71345,0.75965,0.4487,1.3795,0.96276,1.20355,0.000511769,0.000511769,0.000511769
23,166.348,1.12113,0.72244,1.08259,0.76735,0.75949,0.78388,0.44922,1.39777,0.88548,1.21175,0.000456758,0.000456758,0.000456758
24,173.124,1.13421,0.7116,1.08714,0.761,0.83042,0.80066,0.43819,1.41979,0.86923,1.20475,0.000401747,0.000401747,0.000401747
25,179.901,1.11,0.67838,1.07741,0.77493,0.76594,0.80165,0.44951,1.4172,0.88806,1.21251,0.000346736,0.000346736,0.000346736
26,186.719,1.10515,0.66918,1.07621,0.76243,0.74775,0.80463,0.45611,1.39133,0.84918,1.20388,0.000291725,0.000291725,0.000291725
27,193.515,1.0811,0.64326,1.07523,0.69187,0.81567,0.80102,0.45498,1.41924,0.85627,1.2233,0.000236714,0.000236714,0.000236714
28,200.336,1.061,0.63883,1.05666,0.78695,0.73567,0.81535,0.46393,1.40182,0.85522,1.21387,0.000181703,0.000181703,0.000181703
29,207.125,1.05941,0.61949,1.05625,0.82728,0.71443,0.81227,0.46841,1.39935,0.8359,1.21305,0.000126692,0.000126692,0.000126692
30,213.945,1.03483,0.59422,1.044,0.83264,0.71677,0.81213,0.46962,1.38604,0.83525,1.20317,7.1681e-05,7.1681e-05,7.1681e-05
